300000988,38,"LOW"
300000989,18,"HIGH"
300000990,52,"LOW"
300000991,27,"LOW"
300000992,130,"HIGH"
300000993,54,"LOW"
300000994,25,"LOW"
300000995,136,"HIGH"
300000996,25,"LOW"
300000997,43,"LOW"
300000998,52,"LOW"
300000998,58,"LOW"
300000999,131,"LOW"
300001000,52,"LOW"
300001001,136,"HIGH"
300001002,53,"LOW"
300001003,67,"HIGH"
300001004,8,"HIGH"
300001005,61,"LOW"
300001006,52,"LOW"
300001007,130,"HIGH"
300001008,132,"HIGH"
300001009,10,"HIGH"
300001010,54,"LOW"
300001011,62,"LOW"
300001012,53,"HIGH"
300001013,131,"HIGH"
300001014,54,"HIGH"
300001015,57,"HIGH"
300001016,45,"HIGH"
300001017,131,"LOW"
300001018,1,"HIGH"
300001019,22,"HIGH"
300001020,136,"LOW"
300001021,54,"HIGH"
300001022,11,"LOW"
300001023,11,"HIGH"
300001024,53,"LOW"
300001025,25,"LOW"
300001026,44,"HIGH"
300001026,44,"HIGH"
300001027,53,"LOW"
300001028,135,"HIGH"
300001029,53,"LOW"
300001030,25,"LOW"
300001031,52,"LOW"
300001032,67,"HIGH"
300001032,62,"HIGH"
300001033,14,"HIGH"
300001034,31,"HIGH"
300001035,8,"HIGH"
300001036,52,"LOW"
300001037,49,"LOW"
300001038,15,"HIGH"
300001039,18,"HIGH"
300001040,11,"LOW"
300001041,11,"LOW"
300001042,51,"HIGH"
300001043,131,"LOW"
300001044,131,"LOW"
300001045,8,"HIGH"
300001046,52,"LOW"
300001047,47,"HIGH"
300001048,54,"LOW"
300001049,25,"LOW"
300001050,11,"LOW"
300001051,11,"LOW"
300001052,39,"LOW"
300001053,131,"LOW"
300001054,54,"LOW"
300001055,54,"HIGH"
300001056,25,"LOW"
300001057,21,"HIGH"
300001058,54,"LOW"
300001059,25,"LOW"
300001060,53,"LOW"
300001061,53,"LOW"
300001062,52,"LOW"
300001063,53,"LOW"
300001064,25,"LOW"
300001065,57,"HIGH"
300001066,10,"HIGH"
300001067,54,"LOW"
300001068,25,"LOW"
300001069,52,"LOW"
300001070,52,"LOW"
300001071,52,"LOW"
300001072,52,"LOW"
300001073,52,"HIGH"
300001074,52,"HIGH"
300001075,11,"LOW"
300001076,14,"HIGH"
300001077,52,"HIGH"
300001078,57,"HIGH"
300001079,18,"HIGH"
300001080,52,"LOW"
300001081,62,"LOW"
300001082,58,"LOW"
300001083,18,"HIGH"
300001084,14,"HIGH"
300001085,51,"HIGH"
300001086,29,"HIGH"
300001087,62,"LOW"
300001088,128,"HIGH"
300001089,49,"LOW"
300001090,49,"LOW"
300001091,52,"LOW"
300001092,67,"HIGH"
300001093,59,"HIGH"
300001094,14,"HIGH"
300001095,35,"HIGH"
300001096,8,"LOW"
300001097,47,"LOW"
300001098,45,"HIGH"
300001099,51,"HIGH"
